,Episodes,Rewards
848,84,125.0
849,84,55.0
850,85,95.0
851,85,93.0
852,85,12.0
853,85,32.0
854,85,24.0
855,85,73.0
856,85,10.0
857,85,51.0
858,85,125.0
859,85,65.0
860,86,129.0
861,86,77.0
862,86,50.0
863,86,18.0
864,86,23.0
865,86,37.0
866,86,13.0
867,86,47.0
868,86,125.0
869,86,86.0
870,87,129.0
871,87,84.0
872,87,18.0
873,87,17.0
874,87,21.0
875,87,141.0
876,87,10.0
877,87,49.0
878,87,125.0
879,87,78.0
880,88,189.0
881,88,89.0
882,88,18.0
883,88,18.0
884,88,22.0
885,88,49.0
886,88,11.0
887,88,52.0
888,88,125.0
889,88,78.0
890,89,108.0
891,89,100.0
892,89,38.0
893,89,17.0
894,89,22.0
895,89,47.0
896,89,12.0
897,89,51.0
898,89,125.0
899,89,61.0
900,90,197.0
901,90,150.0
902,90,14.0
903,90,13.0
904,90,23.0
905,90,42.0
906,90,9.0
907,90,49.0
908,90,125.0
909,90,43.0
910,91,197.0
911,91,115.0
912,91,12.0
913,91,32.0
914,91,22.0
915,91,58.0
916,91,9.0
917,91,45.0
918,91,125.0
919,91,41.0
920,92,150.0
921,92,69.0
922,92,36.0
923,92,15.0
924,92,21.0
925,92,50.0
926,92,9.0
927,92,51.0
928,92,125.0
929,92,51.0
930,93,144.0
931,93,58.0
932,93,12.0
933,93,34.0
934,93,23.0
935,93,82.0
936,93,9.0
937,93,52.0
938,93,125.0
939,93,45.0
940,94,121.0
941,94,87.0
942,94,41.0
943,94,32.0
944,94,18.0
945,94,75.0
946,94,9.0
947,94,58.0
948,94,125.0
949,94,43.0
950,95,144.0
951,95,83.0
952,95,20.0
953,95,18.0
954,95,23.0
955,95,87.0
956,95,12.0
957,95,55.0
958,95,125.0
959,95,41.0
960,96,128.0
961,96,81.0
962,96,52.0
963,96,34.0
964,96,23.0
965,96,140.0
966,96,11.0
967,96,60.0
968,96,125.0
969,96,28.0
970,97,79.0
971,97,93.0
972,97,37.0
973,97,34.0
974,97,21.0
975,97,75.0
976,97,10.0
977,97,51.0
978,97,125.0
979,97,35.0
980,98,123.0
981,98,83.0
982,98,45.0
983,98,59.0
984,98,22.0
985,98,62.0
986,98,12.0
987,98,55.0
988,98,125.0
989,98,35.0
990,99,115.0
991,99,96.0
992,99,92.0
993,99,33.0
994,99,24.0
995,99,65.0
996,99,11.0
997,99,53.0
998,99,186.0
999,99,40.0
1000,100,110.0
1001,100,95.0
1002,100,108.0
1003,100,36.0
1004,100,23.0
1005,100,74.0
1006,100,10.0
1007,100,53.0
1008,100,13.0
1009,100,21.0
1010,101,125.0
1011,101,87.0
1012,101,69.0
1013,101,41.0
1014,101,23.0
1015,101,103.0
1016,101,12.0
1017,101,58.0
1018,101,13.0
1019,101,40.0
1020,102,131.0
1021,102,85.0
1022,102,50.0
1023,102,51.0
1024,102,25.0
1025,102,67.0
1026,102,9.0
1027,102,60.0
1028,102,110.0
1029,102,29.0
1030,103,171.0
1031,103,97.0
1032,103,45.0
1033,103,74.0
1034,103,24.0
1035,103,118.0
1036,103,11.0
1037,103,63.0
1038,103,111.0
1039,103,23.0
1040,104,121.0
1041,104,109.0
1042,104,51.0
1043,104,45.0
1044,104,23.0
1045,104,117.0
1046,104,9.0
1047,104,52.0
1048,104,20.0
1049,104,33.0
1050,105,195.0
1051,105,92.0
1052,105,99.0
1053,105,44.0
1054,105,26.0
1055,105,103.0
1056,105,9.0
1057,105,65.0
1058,105,102.0
1059,105,21.0
1060,106,115.0
1061,106,81.0
1062,106,59.0
1063,106,44.0
1064,106,25.0
1065,106,173.0
1066,106,9.0
1067,106,62.0
1068,106,23.0
1069,106,23.0
1070,107,115.0
1071,107,135.0
1072,107,64.0
1073,107,44.0
1074,107,28.0
1075,107,110.0
1076,107,10.0
1077,107,68.0
1078,107,95.0
1079,107,30.0
1080,108,125.0
1081,108,71.0
1082,108,129.0
1083,108,171.0
1084,108,25.0
1085,108,110.0
1086,108,9.0
1087,108,68.0
1088,108,103.0
1089,108,31.0
1090,109,159.0
1091,109,62.0
1092,109,155.0
1093,109,171.0
1094,109,26.0
1095,109,128.0
1096,109,9.0
1097,109,68.0
1098,109,40.0
1099,109,29.0
1100,110,173.0
1101,110,67.0
1102,110,130.0
1103,110,171.0
1104,110,25.0
1105,110,177.0
1106,110,10.0
1107,110,73.0
1108,110,89.0
1109,110,16.0
1110,111,120.0
1111,111,78.0
1112,111,114.0
1113,111,172.0
1114,111,27.0
1115,111,98.0
1116,111,12.0
1117,111,72.0
1118,111,111.0
1119,111,28.0
1120,112,135.0
1121,112,55.0
1122,112,68.0
1123,112,172.0
1124,112,27.0
1125,112,132.0
1126,112,10.0
1127,112,87.0
1128,112,100.0
1129,112,31.0
1130,113,107.0
1131,113,64.0
1132,113,78.0
1133,113,171.0
1134,113,24.0
1135,113,113.0
1136,113,11.0
1137,113,90.0
1138,113,106.0
1139,113,26.0
1140,114,163.0
1141,114,52.0
1142,114,123.0
1143,114,171.0
1144,114,29.0
1145,114,152.0
1146,114,9.0
1147,114,102.0
1148,114,19.0
1149,114,17.0
1150,115,134.0
1151,115,54.0
1152,115,138.0
1153,115,171.0
1154,115,27.0
1155,115,104.0
1156,115,9.0
1157,115,100.0
1158,115,120.0
1159,115,34.0
1160,116,125.0
1161,116,41.0
1162,116,67.0
1163,116,193.0
1164,116,28.0
1165,116,159.0
1166,116,9.0
1167,116,120.0
1168,116,129.0
1169,116,27.0
1170,117,193.0
1171,117,52.0
1172,117,67.0
1173,117,192.0
1174,117,29.0
1175,117,184.0
1176,117,9.0
1177,117,132.0
1178,117,134.0
1179,117,22.0
1180,118,118.0
1181,118,48.0
1182,118,67.0
1183,118,192.0
1184,118,33.0
1185,118,127.0
1186,118,9.0
1187,118,158.0
1188,118,128.0
1189,118,33.0
1190,119,120.0
1191,119,44.0
1192,119,131.0
1193,119,192.0
1194,119,30.0
1195,119,152.0
1196,119,11.0
1197,119,150.0
1198,119,117.0
1199,119,26.0
1200,120,139.0
1201,120,48.0
1202,120,104.0
1203,120,192.0
1204,120,30.0
1205,120,76.0
1206,120,9.0
1207,120,166.0
1208,120,125.0
1209,120,29.0
1210,121,179.0
1211,121,38.0
1212,121,72.0
1213,121,192.0
1214,121,27.0
1215,121,63.0
1216,121,11.0
1217,121,164.0
1218,121,114.0
1219,121,17.0
1220,122,156.0
1221,122,46.0
1222,122,65.0
1223,122,192.0
1224,122,25.0
1225,122,87.0
1226,122,9.0
1227,122,166.0
1228,122,135.0
1229,122,31.0
1230,123,188.0
1231,123,48.0
1232,123,65.0
1233,123,192.0
1234,123,27.0
1235,123,89.0
1236,123,11.0
1237,123,161.0
1238,123,14.0
1239,123,34.0
1240,124,188.0
1241,124,45.0
1242,124,56.0
1243,124,192.0
1244,124,26.0
1245,124,127.0
1246,124,11.0
1247,124,164.0
1248,124,127.0
1249,124,42.0
1250,125,188.0
1251,125,41.0
1252,125,55.0
1253,125,192.0
1254,125,29.0
1255,125,112.0
1256,125,11.0
1257,125,150.0
1258,125,129.0
1259,125,27.0
1260,126,151.0
1261,126,43.0
1262,126,54.0
1263,126,192.0
1264,126,28.0
1265,126,102.0
1266,126,11.0
1267,126,137.0
1268,126,143.0
1269,126,32.0
1270,127,151.0
1271,127,46.0
1272,127,51.0
1273,127,192.0
1274,127,28.0
1275,127,141.0
1276,127,9.0
1277,127,184.0
1278,127,127.0
1279,127,39.0
1280,128,151.0
1281,128,48.0
1282,128,42.0
1283,128,192.0
1284,128,28.0
1285,128,147.0
1286,128,9.0
1287,128,184.0
1288,128,164.0
1289,128,44.0
1290,129,151.0
1291,129,42.0
